Timestamp,Chlorophyll Index,Arable Field Evapotranspiration (mm),Arable Canopy Evapotranspiration (mm),Growing Degree Days,Accumulated Growing Degree Days,NDVI,Minimum Relative Humidity,Relative Humidity at Max Temp,Relative Humidity at Min Temp,Shortwave Downwelling Radiation,Max Temp,Mean Temp,Min Temp,Max Dew Point Temp,Max Temp Time,Min Temp Time,Precipitation,Precipitation Hours,Cumulative Precipitation,Sea Level Pressure,Vapor Pressure Deficit,Crop Coefficient,Leaf Wetness (Hours),Dew Temp,Crop Water Demand (mm/day),Sun Duration,Wind Direction,Wind Speed,Wind Direction Degrees,Max Wind Speed,Min Wind Speed
6/19/2024,0.89,0.11,0.03,13,750,0.36,61,65,81,276.32,71,64,55,60,2024-06-19T19:05:00Z,2024-06-19T09:45:00Z,0.2,10,0.62,1023,6,0.36,0,54,0,9.2,E,3,85,5,2
6/20/2024,1.06,0.26,0.1,26,775,0.42,41,42,93,134.08,88,76,65,67,2024-06-20T16:50:00Z,2024-06-20T04:20:00Z,0.4,15,1,1020,12,0.43,4,63,0,12.5,SSE,4,160,7,2
6/21/2024,1.09,0.26,0.11,26,801,0.42,39,43,88,306.41,94,80,66,68,2024-06-21T10:55:00Z,2024-06-21T06:05:00Z,0.7,15,1.69,1014,16,0.45,0,64,1,12.2,S,5,181,8,3
6/22/2024,1.04,0.27,0.12,26,828,0.41,29,29,91,315.91,90,78,67,66,2024-06-22T17:00:00Z,2024-06-22T05:50:00Z,0,0,1.7,1013,15,0.42,2,60,0,11.8,WSW,3,247,5,1
6/23/2024,1.12,0.32,0.13,25,853,0.43,21,22,86,304.59,100,82,64,67,2024-06-23T15:25:00Z,2024-06-23T02:55:00Z,0,1,1.72,1013,22,0.46,2,59,0,12.7,S,3,178,5,1
6/24/2024,1.18,0.32,0.15,27,880,0.45,17,17,69,320.87,105,86,68,63,2024-06-24T16:40:00Z,2024-06-24T06:20:00Z,0,0,1.72,1007,28,0.48,0,58,0,11.3,S,2,177,4,2
6/25/2024,1.93,0.35,0.18,29,908,0.59,16,19,55,304.34,99,85,71,64,2024-06-25T17:05:00Z,2024-06-25T23:55:00Z,0,0,1.72,1008,27,0.69,0,57,0,12.7,SSW,2,195,4,0
6/26/2024,1.94,0.33,0.23,27,935,0.59,29,30,82,336.96,90,79,68,66,2024-06-26T17:00:00Z,2024-06-26T06:50:00Z,0,0,1.72,1014,19,0.69,0,57,0,12.6,ENE,3,63,5,2
6/27/2024,2.24,0.18,0.13,27,962,0.64,38,43,88,337.95,93,80,68,68,2024-06-27T18:05:00Z,2024-06-27T07:25:00Z,0,4,1.76,1007,16,0.77,0,64,0,9.6,SSE,4,159,6,2
6/28/2024,1.93,0.3,0.23,27,989,0.59,27,27,83,164.37,95,80,68,65,2024-06-28T17:55:00Z,2024-06-28T23:15:00Z,0.1,3,1.81,1004,19,0.69,0,60,0,11.8,S,2,180,5,2
6/29/2024,2.04,0.26,0.18,22,1012,0.6,41,42,92,318.49,81,71,64,65,2024-06-29T16:50:00Z,2024-06-29T03:45:00Z,0.1,2,1.89,1020,11,0.71,6,56,0,11.3,E,3,90,5,1
6/30/2024,2.82,0.09,0.06,17,1029,0.71,65,71,90,314.78,76,64,58,66,2024-06-30T17:30:00Z,2024-06-30T10:25:00Z,0.1,1,2.02,1025,4,0.86,8,59,0,9.1,ESE,4,117,5,2
7/1/2024,3.01,0.25,0.21,26,1054,0.74,30,31,96,110.29,99,77,65,70,2024-07-01T16:05:00Z,2024-07-01T00:00:00Z,0.5,6,2.54,1011,11,0.9,13,67,0,10.2,SSE,3,167,8,2
7/2/2024,3.13,0.25,0.23,26,1081,0.75,42,42,98,253.46,84,75,68,69,2024-07-02T19:00:00Z,2024-07-02T06:40:00Z,0,0,2.54,1011,9,0.91,10,65,0,11.7,SE,2,145,4,0
7/3/2024,3.25,0.23,0.21,22,1103,0.76,46,53,87,290.16,84,72,61,68,2024-07-03T14:45:00Z,2024-07-03T20:40:00Z,0.3,2,2.8,1015,8,0.94,8,63,0,9.7,SSE,3,166,6,2
7/4/2024,3.2,0.27,0.25,18,1120,0.76,34,35,99,257.68,80,67,56,61,2024-07-04T17:45:00Z,2024-07-04T05:15:00Z,0,1,2.81,1019,9,0.93,9,54,0,11.8,SSE,3,165,4,1
7/5/2024,3.37,0.16,0.15,16,1136,0.77,46,47,94,326.57,79,64,53,60,2024-07-05T18:10:00Z,2024-07-05T06:20:00Z,0.3,4,3.06,1022,7,0.95,7,55,0,11.2,WSW,2,248,4,1
7/6/2024,2.88,0.24,0.23,21,1157,0.75,37,37,94,201.94,88,69,57,65,2024-07-06T13:35:00Z,2024-07-06T06:20:00Z,0.2,1,3.23,1015,8,0.92,7,59,0,11.6,S,3,170,6,1
7/7/2024,3.34,0.1,0.09,16,1173,0.77,59,60,98,282.69,74,63,57,62,2024-07-07T18:10:00Z,2024-07-07T05:05:00Z,0.1,5,3.36,1018,3,0.95,15,59,0,9.1,SW,2,232,4,1
7/8/2024,3.6,0.28,0.27,18,1191,0.8,35,42,95,127.19,82,68,55,59,2024-07-08T19:40:00Z,2024-07-08T06:25:00Z,0,0,3.36,1019,10,0.99,8,54,0,12.3,SSW,2,194,3,1
7/9/2024,3.66,0.31,0.31,19,1210,0.8,32,35,98,338.43,89,73,52,60,2024-07-09T15:45:00Z,2024-07-09T06:20:00Z,0,0,3.36,1017,15,0.99,6,56,0,12.6,S,2,180,3,0
7/10/2024,3.8,0.32,0.31,22,1233,0.81,29,29,89,338.76,91,76,59,62,2024-07-10T16:35:00Z,2024-07-10T06:25:00Z,0,0,3.36,1016,17,1,0,57,0,12.3,SE,2,140,3,1
7/11/2024,3.94,0.31,0.31,21,1254,0.82,33,35,97,332.33,92,76,57,65,2024-07-11T16:10:00Z,2024-07-11T06:30:00Z,0,0,3.36,1016,16,1.02,5,59,0,12.4,E,2,88,4,0
7/12/2024,3.98,0.32,0.33,23,1277,0.82,27,29,89,329.66,97,81,61,66,2024-07-12T17:40:00Z,2024-07-12T06:40:00Z,0,0,3.36,1013,21,1.02,0,59,0,12.2,SE,3,136,4,2
7/13/2024,3.9,0.33,0.34,23,1301,0.81,29,34,78,322.99,99,82,60,66,2024-07-13T16:05:00Z,2024-07-13T06:25:00Z,0,0,3.36,1013,23,1.01,0,59,0,12.5,SSE,2,157,3,1
7/14/2024,4.13,0.3,0.31,24,1325,0.82,29,35,93,328.63,98,80,63,68,2024-07-14T16:50:00Z,2024-07-14T06:10:00Z,0.1,4,3.42,1015,17,1.03,5,63,0,12.2,S,3,180,6,1
7/15/2024,3.97,0.33,0.34,25,1350,0.81,25,26,74,316.99,101,86,64,66,2024-07-15T15:15:00Z,2024-07-15T06:45:00Z,0,1,3.43,1010,27,1.01,0,59,0,12.3,SSE,2,149,4,0
7/16/2024,4.02,0.25,0.25,27,1376,0.82,41,41,79,317.94,90,78,67,67,2024-07-16T15:45:00Z,2024-07-16T06:50:00Z,0,1,3.44,1014,14,1.03,1,63,0,11.3,E,2,89,6,0
7/17/2024,4.06,0.23,0.24,23,1399,0.82,45,51,95,251.27,84,73,61,65,2024-07-17T15:00:00Z,2024-07-17T04:55:00Z,0,2,3.48,1021,9,1.03,6,62,0,11,SE,2,135,4,0
7/18/2024,4.15,0.28,0.29,23,1422,0.83,41,43,98,262.41,89,74,60,64,2024-07-18T16:15:00Z,2024-07-18T06:25:00Z,0,0,3.48,1021,11,1.04,8,62,0,12.3,SSE,2,148,4,0
7/19/2024,4.11,0.21,0.22,23,1445,0.83,43,45,93,318.71,90,73,60,66,2024-07-19T14:30:00Z,2024-07-19T16:25:00Z,2.1,3,5.58,1018,9,1.04,4,63,2,9.8,S,3,177,4,0
7/20/2024,4.05,0.18,0.18,21,1466,0.82,55,56,92,228.87,81,70,61,66,2024-07-20T16:15:00Z,2024-07-20T05:05:00Z,0,1,5.61,1020,6,1.02,6,62,0,10.6,SSE,3,168,4,2
7/21/2024,3.93,0.21,0.21,19,1485,0.82,45,50,98,199.89,81,69,57,64,2024-07-21T16:40:00Z,2024-07-21T06:30:00Z,0,0,5.61,1022,8,1.02,9,59,0,11.6,SE,2,129,3,0
7/22/2024,4.14,0.22,0.22,20,1505,0.83,44,50,97,239.08,82,70,57,63,2024-07-22T15:45:00Z,2024-07-22T05:30:00Z,0.1,2,5.67,1020,8,1.03,9,59,0,11,S,1,170,3,0
7/23/2024,3.92,0.25,0.25,21,1526,0.82,38,39,98,263.91,88,72,56,69,2024-07-23T16:50:00Z,2024-07-23T06:00:00Z,0,0,5.67,1019,11,1.02,9,60,0,11.7,SSW,1,193,2,0
7/24/2024,4,0.27,0.28,22,1548,0.83,32,35,95,276.83,93,76,58,65,2024-07-24T16:35:00Z,2024-07-24T06:30:00Z,0,0,5.67,1021,15,1.03,6,60,0,11.8,SSW,2,196,3,1
7/25/2024,3.99,0.28,0.28,22,1569,0.83,32,36,95,289.32,90,77,58,65,2024-07-25T16:00:00Z,2024-07-25T06:40:00Z,0,0,5.67,1020,17,1.03,4,58,0,11.8,S,3,174,4,1
7/26/2024,4.16,0.28,0.29,24,1593,0.83,37,37,81,287.27,91,78,62,61,2024-07-26T15:05:00Z,2024-07-26T06:45:00Z,0.1,8,5.79,1015,17,1.04,0,59,0,11.9,SSE,4,162,6,2
7/27/2024,4.2,0.27,0.28,27,1621,0.83,40,42,76,302.66,91,79,68,65,2024-07-27T17:20:00Z,2024-07-27T05:40:00Z,0.2,15,5.97,1010,16,1.04,0,62,0,11.7,SSE,5,163,6,4
7/28/2024,4.13,0.29,0.3,24,1645,0.83,34,36,90,286.89,95,78,62,66,2024-07-28T17:20:00Z,2024-07-28T07:00:00Z,0,3,6,1008,15,1.03,1,63,0,12.1,SE,3,129,6,0
7/29/2024,4.08,0.29,0.3,25,1670,0.83,37,41,87,306.44,94,80,65,67,2024-07-29T18:10:00Z,2024-07-29T07:15:00Z,0,0,6,1010,17,1.03,0,63,0,12.1,ESE,2,102,4,1
7/30/2024,3.96,0.32,0.33,24,1694,0.82,18,20,93,302.68,101,82,62,66,2024-07-30T15:55:00Z,2024-07-30T06:50:00Z,0,0,6,1007,22,1.02,4,60,0,12.1,SW,2,214,3,1
7/31/2024,4.09,0.3,0.3,25,1719,0.82,38,38,91,312.2,97,80,64,71,2024-07-31T15:05:00Z,2024-07-31T23:55:00Z,0,1,6.01,1010,16,1.03,1,64,0,12,S,2,169,5,1
8/1/2024,3.91,0.28,0.29,22,1741,0.82,32,34,97,299.05,93,77,58,66,2024-08-01T15:30:00Z,2024-08-01T06:30:00Z,0,0,6.01,1019,16,1.02,8,61,0,11.8,SE,2,142,4,1
8/2/2024,4.01,0.29,0.29,24,1765,0.82,33,34,91,292.76,95,80,62,65,2024-08-02T17:40:00Z,2024-08-02T06:25:00Z,0,0,6.01,1021,18,1.02,2,61,0,11.7,S,2,169,4,1
8/3/2024,4.02,0.26,0.26,28,1793,0.82,33,36,71,295.02,94,81,70,64,2024-08-03T16:30:00Z,2024-08-03T08:30:00Z,0,2,6.03,1018,19,1.02,0,60,0,9.8,S,2,169,5,0
8/4/2024,3.88,0.3,0.31,22,1814,0.81,24,27,96,261.84,97,80,57,64,2024-08-04T16:40:00Z,2024-08-04T06:50:00Z,0.1,8,6.1,1015,21,1.01,4,58,0,12,SSW,3,198,5,2
8/5/2024,3.78,0.3,0.31,28,1842,0.81,24,26,63,305.43,102,85,69,64,2024-08-05T17:30:00Z,2024-08-05T06:40:00Z,0.1,3,6.15,1014,26,1,0,59,0,11.6,SSE,3,158,4,0
8/6/2024,3.48,0.13,0.13,23,1865,0.78,45,45,91,286.76,85,73,62,63,2024-08-06T18:25:00Z,2024-08-06T07:00:00Z,0,0,6.15,1020,10,0.96,2,61,0,10.6,ENE,3,68,4,2
8/7/2024,3.88,0.26,0.25,24,1889,0.81,42,43,91,150.91,91,77,62,67,2024-08-07T17:05:00Z,2024-08-07T06:55:00Z,0.1,3,6.2,1014,13,1.01,2,63,0,11.2,ESE,2,120,3,0
8/8/2024,3.51,0.14,0.14,18,1907,0.78,54,54,74,283.07,74,67,62,67,2024-08-08T17:15:00Z,2024-08-08T23:55:00Z,0.2,3,6.4,1022,5,0.97,9,59,0,10.3,NE,3,49,5,2
8/9/2024,3.54,0.03,0.03,8,1915,0.8,71,75,91,177.22,61,57,55,55,2024-08-09T00:00:00Z,2024-08-09T15:15:00Z,0,3,6.43,1028,2,0.99,12,53,0,0.7,E,2,100,3,0
8/10/2024,3.51,0.07,0.07,11,1926,0.78,69,69,88,29.92,68,59,55,57,2024-08-10T17:05:00Z,2024-08-10T06:15:00Z,0,0,6.43,1025,3,0.96,5,54,0,8.6,SSE,2,159,3,1
8/11/2024,3.51,0.11,0.1,17,1944,0.78,65,66,97,90.6,77,65,58,65,2024-08-11T18:20:00Z,2024-08-11T02:40:00Z,0,1,6.44,1019,3,0.96,14,60,0,8,SE,2,141,3,2
8/12/2024,3.48,0.1,0.1,17,1961,0.78,69,70,98,142.41,77,66,57,67,2024-08-12T19:00:00Z,2024-08-12T06:50:00Z,0.4,5,6.82,1020,3,0.96,14,62,0,11.7,ESE,2,112,4,1
8/13/2024,3.59,0.18,0.17,26,1986,0.78,63,63,96,148.17,85,74,66,71,2024-08-13T18:15:00Z,2024-08-13T04:30:00Z,0.1,2,6.89,1015,7,0.97,9,67,0,10.9,ESE,3,121,5,2
8/14/2024,3.9,0.2,0.19,25,2011,0.81,38,47,93,204.87,91,73,63,69,2024-08-14T17:55:00Z,2024-08-14T04:20:00Z,0,0,6.89,1013,9,1.01,11,64,0,10,WSW,2,245,4,0
8/15/2024,3.76,0.27,0.27,23,2033,0.81,34,37,85,225.79,87,74,60,59,2024-08-15T17:50:00Z,2024-08-15T05:30:00Z,0,2,6.91,1016,14,1,0,56,0,11.2,WSW,3,239,4,1
8/16/2024,3.83,0.24,0.24,23,2056,0.81,41,42,87,296.71,89,73,60,63,2024-08-16T17:00:00Z,2024-08-16T04:45:00Z,0.1,4,7.04,1017,12,1,0,59,0,10.2,SE,2,142,4,1
8/17/2024,3.78,0.27,0.27,21,2078,0.81,41,41,96,260.53,95,77,56,69,2024-08-17T17:40:00Z,2024-08-17T07:00:00Z,0,2,7.06,1016,13,1,4,64,0,11.1,SSE,2,164,4,1
8/18/2024,3.76,0.23,0.23,27,2105,0.8,50,50,95,284.12,89,77,68,72,2024-08-18T13:35:00Z,2024-08-18T06:45:00Z,0,0,7.06,1015,9,1,5,68,0,10.6,E,3,97,5,2
8/19/2024,3.72,0.21,0.21,24,2129,0.8,52,54,91,252.98,85,74,63,67,2024-08-19T17:25:00Z,2024-08-19T07:05:00Z,0,0,7.08,1020,10,0.99,2,63,0,10.1,ESE,3,113,5,0
8/20/2024,3.74,0.23,0.23,24,2153,0.8,50,51,93,233.61,89,76,62,69,2024-08-20T16:20:00Z,2024-08-20T07:05:00Z,0,1,7.1,1019,11,1,2,65,0,10.1,SSE,3,159,4,2
8/21/2024,3.47,0.17,0.17,26,2178,0.78,55,55,93,260.64,87,75,65,69,2024-08-21T16:45:00Z,2024-08-21T06:05:00Z,0.1,10,7.24,1017,9,0.97,6,66,0,8.7,SE,4,142,6,2
8/22/2024,3.64,0.23,0.22,26,2205,0.8,46,46,89,189.31,91,76,66,69,2024-08-22T16:15:00Z,2024-08-22T23:25:00Z,0.3,9,7.51,1016,11,0.99,1,65,0,10,SE,3,140,5,2
8/23/2024,2.95,0.13,0.12,24,2228,0.72,62,62,93,244.74,84,71,64,70,2024-08-23T18:00:00Z,2024-08-23T07:30:00Z,0.2,4,7.73,1016,5,0.88,9,65,0,9.8,SE,2,141,4,0
8/24/2024,3.5,0.26,0.23,26,2255,0.79,27,31,96,153.24,99,80,67,71,2024-08-24T16:45:00Z,2024-08-24T03:40:00Z,0,2,7.75,1013,15,0.98,9,66,0,10.1,S,2,169,4,0
8/25/2024,3.36,0.28,0.28,25,2279,0.78,20,24,88,264.74,100,83,63,70,2024-08-25T16:50:00Z,2024-08-25T07:10:00Z,0.1,7,7.81,1015,23,0.96,3,60,0,10.7,SSW,3,211,6,2
8/26/2024,3.34,0.25,0.24,26,2305,0.78,31,32,86,271.27,96,79,66,63,2024-08-26T15:20:00Z,2024-08-26T21:25:00Z,0.3,10,8.16,1020,17,0.96,0,61,0,9.7,SSW,3,199,6,1
8/27/2024,3.38,0.24,0.23,24,2329,0.78,46,46,94,247.76,89,75,61,67,2024-08-27T16:25:00Z,2024-08-27T07:25:00Z,0.1,3,8.26,1020,11,0.96,5,63,0,11.1,S,2,179,3,0
8/28/2024,3.22,0.26,0.25,24,2352,0.77,31,32,96,256.72,94,78,61,66,2024-08-28T16:35:00Z,2024-08-28T07:15:00Z,0.1,6,8.36,1015,16,0.95,6,61,0,11.1,S,3,172,5,1
8/29/2024,2.8,0.1,0.1,21,2373,0.72,56,59,91,259.01,81,73,61,68,2024-08-29T12:15:00Z,2024-08-29T23:55:00Z,0,1,8.38,1016,9,0.88,2,62,0,7.3,S,3,176,4,1
8/30/2024,3.15,0.23,0.2,18,2391,0.77,31,32,97,104.08,84,67,53,58,2024-08-30T17:20:00Z,2024-08-30T06:10:00Z,0,0,8.38,1024,10,0.95,9,53,0,10.3,S,2,187,3,1
8/31/2024,3.13,0.26,0.25,18,2409,0.77,27,29,96,265.07,89,69,48,58,2024-08-31T15:30:00Z,2024-08-31T07:15:00Z,0,0,8.38,1022,14,0.94,7,51,0,11.1,SSW,2,198,3,1
9/1/2024,3.07,0.25,0.23,18,2427,0.76,32,34,95,270.79,87,69,46,58,2024-09-01T15:20:00Z,2024-09-01T07:15:00Z,0,0,8.38,1024,13,0.93,5,52,0,11,SE,2,146,4,1
9/2/2024,2.84,0.23,0.21,21,2448,0.74,35,37,85,269.18,85,70,57,58,2024-09-02T17:40:00Z,2024-09-02T07:20:00Z,0.1,5,8.43,1024,12,0.91,0,55,0,10.8,SSE,3,157,4,2
9/3/2024,2.75,0.25,0.22,21,2469,0.74,28,29,83,264.12,87,71,55,54,2024-09-03T17:15:00Z,2024-09-03T05:00:00Z,0.1,10,8.57,1020,15,0.9,0,51,0,11,S,4,173,5,2
9/4/2024,2.62,0.25,0.23,21,2490,0.72,26,27,80,265.37,91,73,56,56,2024-09-04T15:55:00Z,2024-09-04T04:45:00Z,0.1,5,8.62,1019,17,0.88,0,51,0,10.8,S,3,190,5,2
9/5/2024,2.66,0.1,0.09,16,2506,0.71,49,53,92,263.9,78,67,54,60,2024-09-05T17:40:00Z,2024-09-05T23:55:00Z,0,0,8.62,1027,8,0.86,1,55,0,9.7,SW,3,232,4,2
9/6/2024,2.57,0.22,0.19,18,2524,0.71,29,29,97,109.98,88,65,45,59,2024-09-06T16:25:00Z,2024-09-06T06:50:00Z,0,0,8.62,1027,11,0.86,9,51,0,10.2,S,2,190,4,0
9/7/2024,2.45,0.21,0.18,19,2543,0.69,38,38,86,254.29,85,68,53,57,2024-09-07T17:10:00Z,2024-09-07T07:10:00Z,0,2,8.65,1022,11,0.84,0,53,0,10.6,SE,3,132,4,2
9/8/2024,2.34,0.22,0.18,18,2561,0.68,27,27,89,248.45,91,71,50,56,2024-09-08T16:25:00Z,2024-09-08T07:30:00Z,0.1,6,8.72,1018,15,0.82,0,52,0,10.4,SSE,3,152,4,1
9/9/2024,2.08,0.25,0.2,21,2582,0.65,21,21,78,241.2,97,77,55,54,2024-09-09T16:30:00Z,2024-09-09T07:40:00Z,0.1,11,8.84,1014,22,0.77,0,51,0,10.2,S,3,186,6,2
9/10/2024,1.88,0.23,0.17,19,2601,0.61,23,23,76,247.07,94,75,53,53,2024-09-10T17:20:00Z,2024-09-10T07:25:00Z,0,4,8.88,1012,20,0.72,0,49,0,10.4,SSE,3,168,4,1
9/11/2024,1.68,0.21,0.15,12,2613,0.57,21,21,60,222.99,90,72,56,46,2024-09-11T15:45:00Z,2024-09-11T07:15:00Z,0.1,6,8.95,1011,19,0.66,0,44,N/A,8.6,SSE,3,164,6,2
